기간,공연건수,개막편수,상연횟수,매출액,예매수
Jan-19,353,244,3592,6753655,292890
Feb-19,338,224,3057,5268602,231673
Mar-19,503,409,3384,8718854,306408
Apr-19,499,404,3487,8019267,334307
May-19,630,499,4191,8939775,393842
Jun-19,887,688,5282,9246634,418046
Jul-19,1152,929,8957,17582219,737103
Aug-19,1245,955,10711,28189800,1140365
Sep-19,1279,988,7790,24000612,867216
Oct-19,1511,1274,9491,31117760,1113124
Nov-19,1581,1310,9378,35440660,1140699
Dec-19,1568,1276,11954,56494853,1633571
Jan-20,696,477,7866,40504364,1007537
Feb-20,550,349,5442,21986967,542290
Mar-20,187,63,2268,9190021,162380
Apr-20,181,88,2195,4693395,115855
May-20,340,224,3840,11513176,250744
Jun-20,445,305,3523,10411888,234871
Jul-20,570,431,4475,16962812,385645
Aug-20,673,495,4835,16857011,404123
Sep-20,280,176,2558,7003037,128148
Oct-20,781,649,4178,12654700,321575
Nov-20,1161,981,5178,15515275,482142
Dec-20,695,546,4314,4908284,133374
Jan-21,320,211,2585,3739925,110593
Feb-21,419,323,2751,16936197,317994
Mar-21,712,611,3653,21446280,421893
Apr-21,876,757,4273,23222928,491151
May-21,1061,892,5315,26586510,620039
Jun-21,1063,933,4832,25663021,602578
Jul-21,1102,967,5839,22994187,574939
Aug-21,1002,821,5474,23684075,598545
Sep-21,1063,948,4800,25611786,586974
Oct-21,1408,1240,6385,30415961,764615
Nov-21,1588,1434,6488,34333089,872738
Dec-21,801,646,3258,18675728,421453
