일자,계(명),남성(명),여성(명),,,,,
2020-01-20,1,1,1,,,,,
2020-01-21,0,0,0,,,,,
2020-01-22,0,0,0,,,,,
2020-01-23,0,0,0,,,,,
2020-01-24,1,1,0,,,,,
2020-01-25,0,0,0,,,,,
2020-01-26,1,1,0,,,,,DF
2020-01-27,1,1,0,,,,,
2020-01-28,0,0,0,,,,,
2020-01-29,0,0,0,,,,,
2020-01-30,3,3,0,,,,,
2020-01-31,4,1,3,,,,,
2020-02-01,1,1,0,,,,,
2020-02-02,3,2,1,,,,,
2020-02-03,0,0,0,,,,,
2020-02-04,1,0,1,,,,,
2020-02-05,5,2,3,,,,,
2020-02-06,3,2,1,,,,,
2020-02-07,0,0,0,,,,,
2020-02-08,0,0,0,,,,,
2020-02-09,3,1,2,,,,,
2020-02-10,1,0,1,,,,,
2020-02-11,0,0,0,,,,,
2020-02-12,0,0,0,,,,,
2020-02-13,0,0,0,,,,,
2020-02-14,0,0,0,,,,,
2020-02-15,0,0,0,,,,,
2020-02-16,2,1,1,,,,,
2020-02-17,0,0,0,,,,,
2020-02-18,2,0,2,,,,,
2020-02-19,34,13,21,,,,,
2020-02-20,16,5,11,,,,,
2020-02-21,74,34,40,,,,,
2020-02-22,190,95,95,,,,,
2020-02-23,210,69,141,,,,,
2020-02-24,207,69,138,,,,,
2020-02-25,130,43,87,,,,,
2020-02-26,253,94,159,,,,,
2020-02-27,449,176,273,,,,,
2020-02-28,427,156,271,,,,,
2020-02-29,909,324,585,,,,,
2020-03-01,595,236,359,,,,,
2020-03-02,686,262,424,,,,,
2020-03-03,600,219,381,,,,,
2020-03-04,516,186,330,,,,,
2020-03-05,438,153,285,,,,,
2020-03-06,518,197,321,,,,,
2020-03-07,483,176,307,,,,,
2020-03-08,367,172,195,,,,,
2020-03-09,248,103,145,,,,,
2020-03-10,131,53,78,,,,,
2020-03-11,242,95,147,,,,,
2020-03-12,114,47,67,,,,,
2020-03-13,110,50,60,,,,,
2020-03-14,107,57,50,,,,,
2020-03-15,76,35,41,,,,,
