일자,남성(명),여성(명),,,,,,,
2020-01-20,0,1,,,,,,,
2020-01-21,0,0,,,,,,,
2020-01-22,0,0,,,,,,,
2020-01-23,0,0,,,,,,,
2020-01-24,1,0,,,,,,,
2020-01-25,0,0,,,,,,,
2020-01-26,1,0,,,,,,,
2020-01-27,1,0,,,,,,,
2020-01-28,0,0,,,,,,,
2020-01-29,0,0,,,,,,,
2020-01-30,3,0,,,,,,,
2020-01-31,1,3,,,,,,,
2020-02-01,1,0,,,,,,,
2020-02-02,2,1,,,,,,,
2020-02-03,0,0,,,,,,,
2020-02-04,0,1,,,,,,,
2020-02-05,2,3,,,,,,,
2020-02-06,2,1,,,,,,,
2020-02-07,0,0,,,,,,,
2020-02-08,0,0,,,,,,,
2020-02-09,1,2,,,,,,,
2020-02-10,0,1,,,,,,,
2020-02-11,0,0,,,,,,,
2020-02-12,0,0,,,,,,,
2020-02-13,0,0,,,,,,,
2020-02-14,0,0,,,,,,,
2020-02-15,0,0,,,,,,,
2020-02-16,1,1,,,,,,,
2020-02-17,0,0,,,,,,,
2020-02-18,0,2,,,,,,,
2020-02-19,13,21,,,,,,,
2020-02-20,5,11,,,,,,,
2020-02-21,34,40,,,,,,,
2020-02-22,95,95,,,,,,,
2020-02-23,69,141,,,,,,,
2020-02-24,69,138,,,,,,,
2020-02-25,43,87,,,,,,,
2020-02-26,94,159,,,,,,,
2020-02-27,176,273,,,,,,,
2020-02-28,156,271,,,,,,,
2020-02-29,324,585,,,,,,,
2020-03-01,236,359,,,,,,,
2020-03-02,262,424,,,,,,,
2020-03-03,219,381,,,,,,,
2020-03-04,186,330,,,,,,,
2020-03-05,153,285,,,,,,,
2020-03-06,197,321,,,,,,,
2020-03-07,176,307,,,,,,,
2020-03-08,172,195,,,,,,,
2020-03-09,103,145,,,,,,,
2020-03-10,53,78,,,,,,,
2020-03-11,95,147,,,,,,,
2020-03-12,47,67,,,,,,,
2020-03-13,50,60,,,,,,,
2020-03-14,57,50,,,,,,,
2020-03-15,35,41,,,,,,,
2020-03-16,33,41,,,,,,,
2020-03-17,31,53,,,,,,,
2020-03-18,40,53,,,,,,,
2020-03-19,57,95,,,,,,,
2020-03-20,33,54,,,,,,,
2020-03-21,57,90,,,,,,,
2020-03-22,43,55,,,,,,,
2020-03-23,27,37,,,,,,,
2020-03-24,40,36,,,,,,,
2020-03-25,53,47,,,,,,,
2020-03-26,48,56,,,,,,,
2020-03-27,40,51,,,,,,,
2020-03-28,98,48,,,,,,,
2020-03-29,63,42,,,,,,,
2020-03-30,35,43,,,,,,,
2020-03-31,71,54,,,,,,,
2020-04-01,41,60,,,,,,,
2020-04-02,34,55,,,,,,,
2020-04-03,34,52,,,,,,,
2020-04-04,39,55,,,,,,,
2020-04-05,46,35,,,,,,,
2020-04-06,21,26,,,,,,,
2020-04-07,18,29,,,,,,,
2020-04-08,25,28,,,,,,,
2020-04-09,22,17,,,,,,,
2020-04-10,15,12,,,,,,,
2020-04-11,15,15,,,,,,,
2020-04-12,14,18,,,,,,,
2020-04-13,14,11,,,,,,,
2020-04-14,13,14,,,,,,,
2020-04-15,10,17,,,,,,,
2020-04-16,6,16,,,,,,,
2020-04-17,14,8,,,,,,,
2020-04-18,7,11,,,,,,,
2020-04-19,4,4,,,,,,,
2020-04-20,5,8,,,,,,,
2020-04-21,6,3,,,,,,,
2020-04-22,6,5,,,,,,,
2020-04-23,4,4,,,,,,,
2020-04-24,5,1,,,,,,,
2020-04-25,4,6,,,,,,,
2020-04-26,6,4,,,,,,,
2020-04-27,4,6,,,,,,,
2020-04-28,7,7,,,,,,,
2020-04-29,4,5,,,,,,,
2020-04-30,4,-,,,,,,,
2020-05-01,4,5,,,,,,,
2020-05-02,6,-,,,,,,,
2020-05-03,7,6,,,,,,,
2020-05-04,6,2,,,,,,,
2020-05-05,2,1,,,,,,,
2020-05-06,2,-,,,,,,,
2020-05-07,3,1,,,,,,,
2020-05-08,7,5,,,,,,,
2020-05-09,17,1,,,,,,,
2020-05-10,24,10,,,,,,,
2020-05-11,31,4,,,,,,,
2020-05-12,20,7,,,,,,,
2020-05-13,18,8,,,,,,,
2020-05-14,17,12,,,,,,,
2020-05-15,17,10,,,,,,,
2020-05-16,11,8,,,,,,,
2020-05-17,5,8,,,,,,,
2020-05-18,11,4,,,,,,,
2020-05-19,10,3,,,,,,,
2020-05-20,23,9,,,,,,,
2020-05-21,9,3,,,,,,,
2020-05-22,15,5,,,,,,,
2020-05-23,12,11,,,,,,,
2020-05-24,15,10,,,,,,,
2020-05-25,8,8,,,,,,,
2020-05-26,13,6,,,,,,,
2020-05-27,16,24,,,,,,,
2020-05-28,48,31,,,,,,,
2020-05-29,31,27,,,,,,,
2020-05-30,21,18,,,,,,,
2020-05-31,15,12,,,,,,,
2020-06-01,12,23,,,,,,,
2020-06-02,23,15,,,,,,,
2020-06-03,23,26,,,,,,,
2020-06-04,19,20,,,,,,,
2020-06-05,21,18,,,,,,,
2020-06-06,27,24,,,,,,,
2020-06-07,30,27,,,,,,,
2020-06-08,12,25,,,,,,,
2020-06-09,18,20,,,,,,,
2020-06-10,22,28,,,,,,,
2020-06-11,28,17,,,,,,,
2020-06-12,31,25,,,,,,,
2020-06-13,19,29,,,,,,,
2020-06-14,16,18,,,,,,,
2020-06-15,20,17,,,,,,,
2020-06-16,22,12,,,,,,,
2020-06-17,18,25,,,,,,,
2020-06-18,25,34,,,,,,,
2020-06-19,25,24,,,,,,,
2020-06-20,39,28,,,,,,,
2020-06-21,25,23,,,,,,,
2020-06-22,9,8,,,,,,,
2020-06-23,35,11,,,,,,,
2020-06-24,31,20,,,,,,,
2020-06-25,16,12,,,,,,,
2020-06-26,23,16,,,,,,,
2020-06-27,28,23,,,,,,,
2020-06-28,38,24,,,,,,,
2020-06-29,20,22,,,,,,,
2020-06-30,25,17,,,,,,,
2020-07-01,29,22,,,,,,,
2020-07-02,31,23,,,,,,,
2020-07-03,31,30,,,,,,,
2020-07-04,38,25,,,,,,,
2020-07-05,31,30,,,,,,,
2020-07-06,26,22,,,,,,,
2020-07-07,22,22,,,,,,,
2020-07-08,35,27,,,,,,,
2020-07-09,28,22,,,,,,,
2020-07-10,36,9,,,,,,,
2020-07-11,22,13,,,,,,,
2020-07-12,32,12,,,,,,,
2020-07-13,39,23,,,,,,,
2020-07-14,16,17,,,,,,,
2020-07-15,33,6,,,,,,,
2020-07-16,47,14,,,,,,,
2020-07-17,35,25,,,,,,,
2020-07-18,23,16,,,,,,,
2020-07-19,21,13,,,,,,,
2020-07-20,19,7,,,,,,,
2020-07-21,25,20,,,,,,,
2020-07-22,39,24,,,,,,,
2020-07-23,38,21,,,,,,,
2020-07-24,23,18,,,,,,,
2020-07-25,96,17,,,,,,,
2020-07-26,49,9,,,,,,,
2020-07-27,13,12,,,,,,,
2020-07-28,22,6,,,,,,,
2020-07-29,32,16,,,,,,,
2020-07-30,13,5,,,,,,,
2020-07-31,24,12,,,,,,,
2020-08-01,23,8,,,,,,,
2020-08-02,21,9,,,,,,,
2020-08-03,15,8,,,,,,,
2020-08-04,23,11,,,,,,,
2020-08-05,23,10,,,,,,,
2020-08-06,34,9,,,,,,,
2020-08-07,12,8,,,,,,,
2020-08-08,23,20,,,,,,,
2020-08-09,17,19,,,,,,,
2020-08-10,14,14,,,,,,,
2020-08-11,20,14,,,,,,,
2020-08-12,34,20,,,,,,,
2020-08-13,31,25,,,,,,,
2020-08-14,51,52,,,,,,,
2020-08-15,70,96,,,,,,,
2020-08-16,102,177,,,,,,,
2020-08-17,75,122,,,,,,,
